epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,527.065,1.15763,0.68596,1.09507,0.95245,0.95402,0.97883,0.63946,1.18476,0.608,1.14688,0.0011684,0.0011684,0.0011684
44,539.362,1.15254,0.70026,1.11984,0.92991,0.96552,0.98035,0.65521,1.11554,0.61865,1.11273,0.0011486,0.0011486,0.0011486
45,552.279,1.17933,0.70459,1.13993,0.95886,0.95977,0.97843,0.67444,1.09664,0.57087,1.10666,0.0011288,0.0011288,0.0011288
46,565.077,1.21624,0.68812,1.11329,0.95365,0.94602,0.97397,0.65582,1.08392,0.58071,1.09013,0.001109,0.001109,0.001109
47,577.005,1.14576,0.67648,1.10672,0.94399,0.97126,0.98603,0.68274,1.05131,0.5713,1.08287,0.0010892,0.0010892,0.0010892
48,589.71,1.16266,0.68314,1.124,0.94328,0.95579,0.98003,0.66379,1.06326,0.61149,1.1063,0.0010694,0.0010694,0.0010694
49,602.334,1.14909,0.68602,1.13328,0.96536,0.96106,0.98787,0.67243,1.06921,0.56503,1.09719,0.0010496,0.0010496,0.0010496
50,614.572,1.09566,0.68224,1.0732,0.97164,0.98461,0.9924,0.67904,1.02931,0.53693,1.07221,0.0010298,0.0010298,0.0010298
51,626.995,1.1017,0.65696,1.09153,0.98511,0.97126,0.98736,0.67454,1.07143,0.54977,1.09142,0.00101,0.00101,0.00101
52,639.336,1.06497,0.6497,1.0696,0.95409,0.95554,0.98501,0.67773,1.02312,0.57271,1.07905,0.0009902,0.0009902,0.0009902
53,651.29,1.11706,0.64093,1.08425,0.96195,0.96552,0.9827,0.69703,0.98179,0.53815,1.06268,0.0009704,0.0009704,0.0009704
54,662.94,1.10563,0.63892,1.09515,0.98207,0.94418,0.98259,0.67751,1.05427,0.55876,1.06855,0.0009506,0.0009506,0.0009506
55,674.945,1.08242,0.62832,1.08121,0.96581,0.97401,0.97977,0.69123,0.98907,0.53133,1.06622,0.0009308,0.0009308,0.0009308
56,687.415,1.08267,0.6297,1.07439,0.9496,0.97455,0.98144,0.71409,0.97551,0.51561,1.05756,0.000911,0.000911,0.000911
57,699.846,1.10366,0.62605,1.09957,0.95477,0.97049,0.97833,0.68661,0.99762,0.54073,1.08259,0.0008912,0.0008912,0.0008912
58,712.308,1.0748,0.60577,1.07053,0.96596,0.97848,0.98306,0.69878,1.01051,0.52022,1.07403,0.0008714,0.0008714,0.0008714
59,724.783,1.03791,0.58338,1.06582,0.97159,0.98278,0.99098,0.7131,0.9552,0.50535,1.05466,0.0008516,0.0008516,0.0008516
60,736.825,1.05054,0.59614,1.07187,0.97945,0.98851,0.9904,0.71758,0.95181,0.49469,1.05086,0.0008318,0.0008318,0.0008318
61,749.048,1.09053,0.61624,1.07608,0.98836,0.976,0.99207,0.72293,0.93961,0.48049,1.03889,0.000812,0.000812,0.000812
62,761.275,1.04993,0.58391,1.06803,0.96064,0.98177,0.99042,0.72095,0.95107,0.49674,1.03671,0.0007922,0.0007922,0.0007922
63,773.482,1.04137,0.58437,1.05091,0.97102,0.97701,0.99124,0.72921,0.94907,0.49914,1.04526,0.0007724,0.0007724,0.0007724
64,785.739,1.03791,0.59317,1.06012,0.96937,0.97701,0.98962,0.7231,0.95161,0.4917,1.05299,0.0007526,0.0007526,0.0007526
65,798.264,1.00525,0.58426,1.06543,0.95726,0.99425,0.99063,0.71227,0.968,0.50275,1.06296,0.0007328,0.0007328,0.0007328
66,810.735,1.05672,0.57995,1.07542,0.97801,0.95977,0.9816,0.71415,0.94685,0.49722,1.05073,0.000713,0.000713,0.000713
67,823.218,1.04557,0.59842,1.05644,0.98273,0.98126,0.98961,0.73617,0.92068,0.49406,1.03013,0.0006932,0.0006932,0.0006932
68,835.722,1.03627,0.57871,1.06925,0.98498,0.97701,0.99304,0.721,0.93866,0.47686,1.03847,0.0006734,0.0006734,0.0006734
69,847.479,1.01015,0.58873,1.06052,0.9883,0.97116,0.98652,0.73929,0.89756,0.47318,1.02243,0.0006536,0.0006536,0.0006536
70,859.181,0.96899,0.56256,1.03382,0.97579,0.98851,0.99203,0.73045,0.9309,0.48418,1.02704,0.0006338,0.0006338,0.0006338
71,871.151,0.9756,0.55248,1.04395,0.96705,0.98276,0.99234,0.74157,0.92801,0.47137,1.0351,0.000614,0.000614,0.000614
72,883.552,0.9662,0.55899,1.04463,0.98274,0.97701,0.99225,0.73033,0.91739,0.46687,1.03467,0.0005942,0.0005942,0.0005942
73,895.978,1.03804,0.5739,1.06996,0.97112,0.97126,0.99087,0.73171,0.91988,0.47478,1.02482,0.0005744,0.0005744,0.0005744
74,908.339,0.99063,0.55081,1.05238,0.98238,0.96122,0.99128,0.7289,0.90409,0.46291,1.02311,0.0005546,0.0005546,0.0005546
75,920.764,0.93235,0.5417,1.03171,0.98252,0.96901,0.99154,0.73824,0.89489,0.46386,1.01493,0.0005348,0.0005348,0.0005348
76,933.104,0.97669,0.53438,1.03151,0.97715,0.98303,0.99229,0.75064,0.89487,0.44301,1.0126,0.000515,0.000515,0.000515
77,945.695,0.9217,0.53469,1.01347,0.98275,0.98218,0.99286,0.75462,0.86419,0.44392,0.9978,0.0004952,0.0004952,0.0004952
78,958.014,0.98021,0.53664,1.03572,0.96522,0.99425,0.99245,0.75461,0.88961,0.44434,1.00153,0.0004754,0.0004754,0.0004754
79,970.691,0.93493,0.52872,1.01547,0.9762,0.98851,0.99217,0.753,0.90596,0.44282,1.00609,0.0004556,0.0004556,0.0004556
80,983.406,0.95761,0.53266,1.02539,0.97695,0.97421,0.99116,0.75035,0.87884,0.44329,1.01484,0.0004358,0.0004358,0.0004358
81,995.595,0.93486,0.5078,1.02099,0.98205,0.97126,0.99222,0.75989,0.84944,0.43239,1.00548,0.000416,0.000416,0.000416
82,1008.28,0.94198,0.52676,1.04025,0.96563,0.98276,0.98523,0.76021,0.84717,0.43787,1.0053,0.0003962,0.0003962,0.0003962
83,1020.94,0.93423,0.5407,1.01703,0.97122,0.96976,0.99196,0.77093,0.85135,0.4401,0.9977,0.0003764,0.0003764,0.0003764
84,1033.51,0.87277,0.50166,0.98874,0.97137,0.97501,0.98666,0.77015,0.82275,0.42247,0.99139,0.0003566,0.0003566,0.0003566
85,1046.08,0.8971,0.49886,1.01011,0.97165,0.98472,0.99319,0.76361,0.84912,0.43117,0.996,0.0003368,0.0003368,0.0003368
86,1058.18,0.91841,0.50592,1.02145,0.98276,0.98258,0.98649,0.76046,0.84814,0.42518,0.9972,0.000317,0.000317,0.000317
87,1070.03,0.90072,0.50005,1.01301,0.9885,0.98836,0.99316,0.77018,0.8256,0.40928,1.00128,0.0002972,0.0002972,0.0002972
88,1082.25,0.91883,0.49964,1.02506,0.98415,0.98276,0.99329,0.76742,0.83326,0.41714,0.99922,0.0002774,0.0002774,0.0002774
89,1094.54,0.89306,0.50632,1.00591,0.9723,0.98851,0.99331,0.77299,0.80944,0.41374,0.98916,0.0002576,0.0002576,0.0002576
